iter	Passed	Remaining
699	28059	52111
700	28101	52074
701	28149	52049
702	28185	52001
703	28223	51957
704	28259	51908
705	28294	51859
706	28333	51816
707	28370	51771
708	28411	51733
709	28448	51688
710	28487	51645
711	28518	51588
712	28551	51536
713	28586	51487
714	28624	51443
715	28660	51396
716	28697	51351
717	28734	51305
718	28772	51261
719	28810	51218
720	28848	51174
721	28888	51135
722	28926	51091
723	28970	51059
724	29013	51023
725	29057	50991
726	29100	50956
727	29137	50911
728	29176	50868
729	29212	50821
730	29254	50785
731	29299	50753
732	29354	50740
733	29397	50704
734	29444	50677
735	29492	50649
736	29537	50618
737	29575	50574
738	29613	50530
739	29651	50487
740	29693	50450
741	29729	50404
742	29771	50367
743	29811	50327
744	29858	50299
745	29901	50263
746	29940	50222
747	29979	50179
748	30019	50138
749	30061	50102
750	30108	50073
751	30147	50031
752	30190	49997
753	30233	49962
754	30284	49939
755	30345	49933
756	30477	50043
757	30577	50101
758	30619	50064
759	30660	50024
760	30705	49992
761	30747	49954
762	30786	49911
763	30823	49865
764	30862	49823
765	30905	49788
766	30949	49752
767	30986	49706
768	31029	49671
769	31069	49630
770	31118	49603
771	31166	49575
772	31210	49540
773	31251	49502
774	31293	49463
775	31334	49423
776	31375	49385
777	31415	49344
778	31457	49305
779	31496	49263
780	31530	49213
781	31566	49166
782	31604	49122
783	31649	49089
784	31693	49053
785	31731	49009
786	31773	48972
787	31822	48945
788	31867	48912
789	31911	48877
790	31951	48836
791	31997	48804
792	32032	48755
793	32073	48715
794	32109	48669
795	32145	48621
796	32181	48574
797	32215	48525
798	32251	48477
799	32296	48444
800	32337	48405
801	32381	48369
802	32422	48330
803	32463	48291
804	32501	48247
805	32539	48203
806	32575	48157
807	32617	48119
808	32660	48082
809	32704	48046
810	32742	48003
811	32788	47971
812	32874	47998
813	32920	47965
814	32960	47924
815	33002	47885
816	33040	47841
817	33079	47798
818	33116	47754
819	33154	47710
820	33194	47669
821	33229	47620
822	33265	47574
823	33302	47528
824	33343	47488
825	33384	47448
826	33426	47412
827	33465	47369
828	33501	47322
829	33539	47278
830	33572	47227
831	33608	47181
832	33644	47134
833	33682	47091
834	33725	47054
835	33761	47007
836	33798	46962
837	33834	46915
838	33871	46870
839	33905	46821
840	33943	46778
841	33984	46738
842	34018	46689
843	34054	46643
844	34095	46604
845	34136	46564
846	34172	46518
847	34214	46479
848	34253	46437
849	34296	46400
850	34332	46354
851	34371	46312
852	34417	46279
853	34457	46238
854	34496	46196
855	34537	46157
856	34574	46112
857	34608	46064
858	34645	46019
859	34682	45974
860	34719	45929
861	34758	45887
862	34794	45841
863	34828	45792
864	34865	45747
865	34902	45704
866	34939	45659
867	34978	45616
868	35016	45574
869	35050	45524
870	35081	45473
871	35115	45424
872	35149	45375
873	35190	45336
874	35229	45295
875	35264	45248
876	35295	45196
877	35331	45149
878	35368	45105
879	35408	45064
880	35445	45021
881	35481	44974
882	35516	44928
883	35548	44878
884	35585	44834
885	35622	44789
886	35654	44738
887	35685	44686
888	35717	44637
889	35752	44590
890	35788	44544
891	35824	44500
892	35862	44456
893	35901	44415
894	35936	44369
895	35977	44329
896	36016	44287
897	36050	44239
898	36086	44195
899	36120	44147
900	36156	44102
901	36189	44053
902	36222	44004
903	36256	43956
904	36290	43909
905	36325	43863
906	36362	43819
907	36398	43773
908	36433	43727
909	36467	43680
910	36500	43631
911	36537	43588
912	36576	43546
913	36609	43499
914	36646	43454
915	36681	43409
916	36715	43361
917	36749	43314
918	36787	43272
919	36822	43225
920	36859	43182
921	36895	43137
922	36927	43088
923	36961	43042
924	36995	42995
925	37029	42947
926	37062	42899
927	37093	42848
928	37131	42806
929	37166	42761
930	37201	42715
931	37234	42667
932	37269	42621
933	37304	42576
934	37340	42532
935	37371	42482
936	37406	42436
937	37439	42388
938	37476	42345
939	37510	42298
940	37543	42251
941	37578	42206
942	37612	42159
943	37647	42114
944	37682	42069
945	37717	42023
946	37749	41974
947	37785	41931
948	37824	41889
949	37870	41857
950	37908	41814
951	37941	41767
952	37979	41725
953	38016	41683
954	38050	41635
955	38084	41590
956	38118	41543
957	38150	41495
958	38187	41452
959	38223	41408
960	38264	41369
961	38301	41327
962	38332	41278
963	38363	41229
964	38396	41181
965	38434	41140
966	38470	41096
967	38507	41053
968	38544	41010
969	38576	40962
970	38613	40920
971	38648	40874
972	38691	40838
973	38743	40811
974	38788	40777
975	38859	40770
976	38926	40758
977	38965	40718
978	39005	40678
979	39055	40649
980	39100	40615
981	39138	40572
982	39171	40526
983	39208	40483
984	39241	40436
985	39279	40394
986	39317	40352
987	39350	40306
988	39383	40259
989	39418	40214
990	39451	40168
991	39485	40122
