iter	RMSE
673	201059.9731
674	201037.605
675	201016.4051
676	200994.2292
677	200971.5555
678	200939.7746
679	200913.5781
680	200889.6626
681	200861.0144
682	200829.7592
683	200810.9642
684	200781.9866
685	200762.3612
686	200734.5984
687	200719.1857
688	200690.4744
689	200666.979
690	200640.1111
691	200619.1515
692	200590.8309
693	200565.5789
694	200542.8527
695	200508.4464
696	200484.7987
697	200459.1578
698	200440.2285
699	200412.4734
700	200389.1141
701	200353.8279
702	200324.1333
703	200314.6678
704	200296.2521
705	200273.8705
706	200249.2754
707	200232.4443
708	200214.6164
709	200194.5524
710	200176.0712
711	200138.5051
712	200113.3927
713	200093.8722
714	200072.1663
715	200046.9267
716	200025.441
717	200006.7538
718	199982.0859
719	199956.3939
720	199932.7791
721	199915.6127
722	199896.8951
723	199875.2998
724	199857.5865
725	199830.1338
726	199803.9243
727	199778.6761
728	199757.1009
729	199730.3411
730	199713.8461
731	199686.1638
732	199666.0858
733	199645.9674
734	199630.7254
735	199598.9944
736	199574.5978
737	199555.6385
738	199524.2281
739	199499.0015
740	199479.1439
741	199456.1458
742	199428.519
743	199400.9309
744	199377.582
745	199356.7271
746	199335.9442
747	199304.7872
748	199287.8507
749	199255.4944
750	199234.7356
751	199199.3759
752	199171.4718
753	199153.1153
754	199134.9792
755	199110.1327
756	199085.8471
757	199065.8394
758	199049.8307
759	199028.9871
760	199014.2772
761	198990.0926
762	198957.8523
763	198923.8948
764	198907.24
765	198893.553
766	198877.651
767	198863.0811
768	198846.0371
769	198826.9478
770	198809.6973
771	198781.5887
772	198766.6017
773	198751.8397
774	198730.2372
775	198707.4318
776	198691.5143
777	198664.5514
778	198630.8405
779	198607.5356
780	198592.6274
781	198571.0953
782	198545.1602
783	198518.9793
784	198492.7041
785	198475.3907
786	198455.7463
787	198440.1563
788	198423.9102
789	198403.9011
790	198378.9548
791	198356.7781
792	198342.4957
793	198319.8587
794	198292.603
795	198269.7187
796	198250.9928
797	198225.8065
798	198210.5875
799	198202.2447
800	198178.9004
801	198147.2661
802	198132.6953
803	198112.6877
804	198074.2912
805	198062.1747
806	198039.1043
807	198025.3311
808	198000.5153
809	197983.8346
810	197962.2139
811	197945.971
812	197930.5876
813	197907.0236
814	197880.5087
815	197864.6737
816	197851.6962
817	197826.4611
818	197809.1243
819	197790.8465
820	197779.2124
821	197764.689
822	197750.4385
823	197729.4531
824	197710.51
825	197694.5626
826	197670.0443
827	197652.4281
828	197637.3052
829	197621.0194
830	197600.5085
831	197577.7308
832	197560.8947
833	197539.9057
834	197512.448
835	197489.149
836	197469.1236
837	197443.2235
838	197419.5619
839	197407.9679
840	197384.3965
841	197361.8147
842	197349.9141
843	197328.0721
844	197313.7741
845	197298.8421
846	197281.099
847	197264.1765
848	197249.5948
849	197234.6526
850	197217.8658
851	197197.0187
852	197184.2245
853	197167.2947
854	197145.0444
855	197113.4684
856	197093.831
857	197074.2145
858	197049.2055
859	197034.2213
860	197006.6957
861	196983.3957
862	196969.2049
863	196950.1341
864	196936.5418
865	196923.8916
866	196906.6631
867	196892.071
868	196868.1525
869	196833.3484
870	196816.2237
871	196797.0369
872	196781.6703
873	196766.9553
874	196745.7663
875	196723.7277
876	196705.4314
877	196684.4014
878	196660.8454
879	196642.8003
880	196630.3634
881	196607.476
882	196591.6279
883	196570.6861
884	196535.252
885	196516.7715
886	196497.7899
887	196477.0628
888	196459.7209
889	196440.3062
890	196420.0767
891	196387.5031
892	196368.2823
893	196350.424
894	196323.9707
895	196311.2979
896	196299.0939
897	196285.5149
898	196269.0195
899	196255.8336
900	196236.1356
901	196218.6477
902	196199.2708
903	196178.8828
904	196157.869
905	196141.6758
906	196129.2647
907	196113.6239
908	196095.0719
909	196078.3487
910	196031.4955
911	196014.5153
912	195992.8869
913	195975.4892
914	195959.9813
915	195941.8694
916	195922.0078
917	195905.0577
918	195879.6267
919	195857.4256
920	195843.1884
921	195827.2122
922	195809.2041
923	195790.4772
924	195774.1871
925	195755.6276
926	195743.5293
927	195727.2494
928	195701.4947
929	195690.595
930	195680.5973
931	195669.4817
932	195631.1058
933	195603.3852
934	195591.0969
935	195572.8651
936	195562.3244
937	195550.3641
938	195538.032
939	195525.9418
940	195494.4143
941	195476.6988
942	195455.0843
943	195436.2312
944	195425.445
945	195406.7344
946	195395.0226
947	195376.6769
948	195361.6309
949	195344.4106
950	195325.3841
951	195312.5167
952	195297.361
953	195285.8095
954	195264.1495
955	195245.2875
956	195234.5744
957	195217.9708
958	195195.8049
959	195170.6967
960	195149.1162
961	195137.8489
962	195127.5476
963	195111.6671
964	195086.1105
965	195072.9378
966	195056.8623
967	195034.0365
968	195014.7426
969	194999.0321
970	194983.7685
971	194968.408
972	194948.2389
973	194936.3426
974	194912.0736
975	194900.7162
976	194890.4956
977	194872.7691
978	194854.2014
979	194839.0387
980	194828.8787
981	194817.1241
982	194789.4909
983	194772.2748
984	194744.1495
985	194734.0862
986	194713.4097
987	194696.4106
988	194687.9037
989	194666.2259
990	194650.5556
991	194631.5138
992	194617.661
993	194602.3643
994	194584.9513
995	194570.9888
996	194552.6277
997	194530.327
998	194509.7052
999	194489.2771
1000	194467.1502
1001	194439.6182
1002	194425.2328
1003	194404.6823
1004	194388.2429
1005	194370.359
1006	194361.7738
1007	194337.6755
1008	194319.5479
1009	194308.4639
1010	194294.6687
1011	194281.026
1012	194266.6212
1013	194252.42
1014	194230.3581
1015	194216.5952
1016	194197.9987
1017	194178.3766
1018	194162.1415
1019	194149.4097
1020	194131.4688
1021	194115.3712
1022	194097.4058
1023	194082.2565
1024	194063.9651
1025	194046.9785
1026	194032.2432
1027	194012.1542
1028	193998.8482
1029	193983.3589
1030	193969.3479
1031	193953.8207
1032	193936.5717
1033	193920.5422
1034	193898.1331
1035	193885.569
1036	193864.7816
1037	193854.7342
1038	193836.4941
1039	193814.7824
1040	193796.135
1041	193786.8065
1042	193774.6572
1043	193752.5555
1044	193741.8027
1045	193726.5344
1046	193711.2797
1047	193697.4788
1048	193682.6938
1049	193668.4201
1050	193648.1225
1051	193629.8698
1052	193618.3711
1053	193601.9792
1054	193589.1391
1055	193570.3751
1056	193557.0442
1057	193533.6041
1058	193510.2561
1059	193496.8132
1060	193480.7853
1061	193466.3575
1062	193444.3586
1063	193425.159
1064	193406.7965
1065	193390.734
1066	193368.4221
1067	193347.8488
1068	193334.078
1069	193317.9737
1070	193309.0692
1071	193295.4233
1072	193280.5517
1073	193264.7925
1074	193250.1807
1075	193236.7244
1076	193222.0086
1077	193208.8276
1078	193195.6308
1079	193182.7513
1080	193169.3399
1081	193153.5946
1082	193143.9278
1083	193130.9979
1084	193110.669
1085	193094.6017
1086	193077.5149
1087	193059.3436
1088	193040.8004
1089	193031.2834
1090	193015.0233
1091	193010.2973
1092	192997.6973
1093	192987.6582
1094	192970.7638
1095	192959.1778
1096	192946.6283
1097	192933.751
1098	192923.8433
1099	192905.6662
1100	192890.1141
1101	192880.2836
1102	192866.2226
1103	192852.4612
1104	192840.9866
1105	192831.3579
1106	192818.6283
1107	192800.6344
1108	192786.4136
1109	192777.1282
1110	192761.3732
1111	192745.6862
1112	192727.9566
1113	192705.2534
1114	192692.627
1115	192675.0878
1116	192658.5136
1117	192648.3779
1118	192631.927
1119	192610.4878
1120	192584.706
1121	192569.4817
1122	192556.4597
1123	192540.8399
1124	192523.0364
1125	192510.6557
1126	192502.8029
1127	192480.0098
1128	192471.5017
1129	192458.533
1130	192439.2321
1131	192422.6922
1132	192400.8293
1133	192385.2725
1134	192374.845
1135	192351.6898
1136	192342.2128
1137	192327.3854
1138	192314.2949
1139	192298.9504
1140	192285.4133
1141	192279.3853
1142	192265.5874
1143	192255.026
1144	192233.9271
1145	192222.8847
1146	192201.7301
1147	192192.8951
1148	192173.8037
1149	192162.4002
1150	192149.5667
1151	192133.0791
1152	192115.8539
1153	192100.7724
1154	192087.9113
1155	192076.1038
1156	192066.5337
1157	192055.4112
1158	192045.0067
1159	192033.535
1160	192023.9275
1161	192012.9115
1162	192004.5045
1163	191995.2269
1164	191971.3271
1165	191955.3656
1166	191938.1611
1167	191908.8158
1168	191899.1712
1169	191891.0692
1170	191873.0602
1171	191861.7053
1172	191843.7923
1173	191825.0183
1174	191804.8149
1175	191794.1603
1176	191781.1751
1177	191764.3526
1178	191755.5774
1179	191735.8051
1180	191728.346
1181	191705.791
1182	191691.2326
1183	191676.5977
1184	191661.8624
1185	191651.3118
1186	191638.8882
1187	191621.2087
1188	191610.0647
1189	191596.9748
1190	191588.1686
1191	191574.356
1192	191565.1073
1193	191551.644
1194	191547.6941
1195	191536.8627
1196	191525.4194
1197	191514.2418
1198	191504.3185
1199	191489.4966
1200	191476.1981
1201	191464.8294
1202	191444.6709
1203	191432.6303
1204	191412.1038
1205	191394.2483
1206	191381.1756
1207	191370.0341
1208	191352.7595
1209	191344.2169
1210	191334.7025
1211	191316.5033
1212	191300.5661
1213	191282.4433
1214	191269.1056
1215	191259.953
1216	191248.303
1217	191234.8991
1218	191220.8548
1219	191203.7102
1220	191191.9797
1221	191184.6039
1222	191173.2732
1223	191156.3398
1224	191146.37
1225	191129.6481
1226	191115.3536
1227	191100.5332
1228	191084.6383
1229	191066.3942
1230	191056.6173
1231	191036.0038
1232	191024.4876
1233	191014.793
1234	191005.0623
1235	190997.0454
1236	190985.7339
1237	190975.1557
1238	190959.9785
1239	190946.8624
1240	190934.049
1241	190911.7919
1242	190901.3465
1243	190885.7655
1244	190861.9618
1245	190849.4922
1246	190837.4512
1247	190816.7244
1248	190801.4349
1249	190787.7482
1250	190773.7037
1251	190763.1284
1252	190730.695
1253	190720.5291
1254	190707.7685
1255	190692.8704
1256	190679.5047
1257	190669.0749
1258	190651.9579
1259	190635.1441
1260	190617.8379
1261	190606.0714
1262	190590.9077
1263	190565.9636
1264	190551.7947
1265	190532.8347
1266	190526.3489
1267	190514.2611
1268	190499.5051
1269	190487.3848
1270	190475.2017
1271	190461.5433
1272	190445.4957
1273	190432.5766
1274	190420.8196
1275	190412.2996
1276	190402.6119
1277	190391.9171
1278	190379.2178
1279	190369.5819
1280	190357.1623
1281	190349.4104
1282	190332.6627
1283	190318.0066
1284	190306.6058
1285	190290.4874
1286	190281.3604
1287	190272.6159
1288	190259.4111
1289	190242.8856
1290	190235.6018
1291	190221.5195
1292	190212.9808
1293	190198.1711
1294	190184.5672
1295	190175.1288
1296	190163.684
1297	190150.3487
1298	190138.1937
1299	190119.9167
1300	190104.0426
1301	190092.5779
1302	190081.219
1303	190071.2099
1304	190056.1515
1305	190043.6666
1306	190033.3474
1307	190022.079
1308	190003.7609
1309	189994.1783
1310	189979.5049
1311	189961.1708
1312	189951.0066
1313	189941.2642
1314	189929.5771
1315	189920.6657
1316	189910.3941
1317	189892.1592
1318	189884.4629
1319	189866.4844
1320	189859.0852
1321	189845.1246
1322	189830.8512
1323	189821.4457
1324	189812.8837
1325	189803.5294
1326	189795.7716
1327	189786.9873
1328	189765.1266
1329	189748.6721
1330	189737.9542
1331	189719.3115
1332	189708.5019
1333	189689.8888
1334	189680.5755
1335	189667.3287
1336	189652.862
1337	189640.5881
1338	189630.5502
1339	189617.6049
1340	189605.4227
1341	189595.2406
1342	189582.3753
1343	189570.0257
1344	189558.4404
1345	189549.1773
1346	189535.9294
1347	189524.633
1348	189514.202
1349	189500.3967
1350	189487.7908
1351	189475.8887
1352	189467.9183
1353	189458.1951
1354	189446.2005
1355	189433.3244
1356	189422.0493
1357	189404.8509
1358	189392.3029
1359	189385.0876
1360	189379.805
1361	189369.0318
1362	189358.9102
1363	189346.6635
1364	189339.228
1365	189327.4707
1366	189319.4012
1367	189313.9844
1368	189302.4213
1369	189289.2027
1370	189282.1105
1371	189273.0275
1372	189261.9907
1373	189249.3852
1374	189238.28
1375	189222.1517
1376	189211.1109
1377	189203.4991
1378	189194.5085
1379	189177.8304
1380	189168.0839
1381	189160.2672
1382	189151.4283
1383	189143.6472
1384	189133.1207
1385	189122.0163
1386	189110.8431
1387	189099.591
1388	189085.5225
1389	189066.0639
1390	189054.7329
1391	189042.808
1392	189029.6626
1393	189020.8217
1394	189013.2072
1395	189004.6369
1396	188992.5801
1397	188985.7443
1398	188971.9037
1399	188962.2601
1400	188952.2299
1401	188939.771
1402	188929.8549
1403	188919.5752
1404	188905.645
1405	188889.6335
1406	188879.8995
1407	188869.1566
1408	188857.3548
1409	188845.2247
1410	188834.0345
1411	188820.7041
1412	188811.0364
1413	188798.7855
1414	188791.5994
1415	188782.6142
1416	188771.1166
1417	188764.4486
1418	188756.1785
1419	188747.3537
1420	188740.4715
1421	188725.9107
1422	188715.4609
1423	188702.3703
1424	188691.229
1425	188679.5248
1426	188661.7174
1427	188650.5982
1428	188641.9232
1429	188629.3928
1430	188617.0056
1431	188607.4955
1432	188597.8777
1433	188589.9482
1434	188572.2555
1435	188556.8143
1436	188547.0575
1437	188532.6313
1438	188524.9427
1439	188515.4954
1440	188502.3787
1441	188493.6739
1442	188484.5744
1443	188469.9643
1444	188457.6852
1445	188446.9909
1446	188437.2733
1447	188424.7329
1448	188413.3991
1449	188405.6091
1450	188390.4049
1451	188380.2055
1452	188371.7454
1453	188364.5238
1454	188354.1276
1455	188340.6945
1456	188322.5529
1457	188317.3135
1458	188303.8205
1459	188287.4967
1460	188277.6099
1461	188270.2425
1462	188262.6258
1463	188254.1848
1464	188242.8798
1465	188228.4675
1466	188218.1332
1467	188207.6559
1468	188195.2415
1469	188181.2283
1470	188170.5049
1471	188152.737
1472	188142.7174
1473	188138.9397
1474	188127.7842
1475	188114.7474
1476	188099.6845
1477	188090.7202
1478	188083.3026
1479	188072.0394
1480	188068.2712
1481	188057.3839
1482	188042.8999
1483	188028.548
1484	188011.9587
1485	188002.2455
1486	187993.4896
1487	187984.8554
1488	187978.319
1489	187970.1931
1490	187956.8346
1491	187949.0362
1492	187938.759
1493	187933.1116
1494	187924.9362
1495	187923.2302
1496	187915.5481
1497	187905.47
1498	187896.7129
1499	187886.7575
1500	187877.8572
1501	187870.7208
1502	187858.0764
1503	187847.3174
1504	187837.3192
1505	187825.5401
1506	187819.5047
1507	187806.4625
1508	187794.8174
1509	187786.0749
1510	187774.0679
1511	187765.3626
1512	187757.8224
1513	187746.9522
1514	187734.5375
1515	187727.4432
1516	187712.7836
1517	187702.245
1518	187694.4592
1519	187687.3625
1520	187680.1835
1521	187672.246
1522	187650.0814
1523	187622.9526
1524	187604.6218
1525	187589.6655
1526	187573.3534
1527	187564.4937
1528	187557.7869
1529	187547.3005
1530	187539.6449
1531	187528.88
1532	187519.9087
1533	187512.0092
1534	187503.5361
1535	187495.7542
1536	187484.8509
1537	187483.1946
1538	187476.4555
1539	187468.8598
1540	187453.6425
1541	187445.5112
1542	187432.4496
1543	187421.2569
1544	187418.1351
1545	187411.437
1546	187402.3415
1547	187392.5169
1548	187374.3239
1549	187359.9535
1550	187351.5877
1551	187337.0839
1552	187326.6322
1553	187312.2919
1554	187305.1723
1555	187296.316
1556	187285.8769
1557	187269.367
1558	187260.0873
1559	187253.3568
1560	187240.2466
1561	187223.549
1562	187209.4692
1563	187195.124
1564	187187.0517
1565	187179.8047
1566	187169.3046
1567	187160.5306
1568	187151.4477
1569	187142.3108
1570	187130.1218
1571	187118.4681
1572	187107.0861
1573	187090.7105
1574	187089.1547
1575	187079.9509
1576	187073.9467
1577	187057.6602
1578	187049.3669
1579	187036.9754
1580	187031.3949
1581	187020.216
1582	187009.7503
1583	186998.4124
1584	186989.3248
1585	186979.2249
1586	186968.645
1587	186954.9164
1588	186946.3268
1589	186935.1094
1590	186923.8833
1591	186917.4695
1592	186907.556
1593	186892.591
1594	186887.1452
1595	186878.6773
1596	186867.1043
1597	186853.4283
1598	186842.7865
1599	186835.0227
1600	186822.7369
1601	186810.5096
1602	186802.7769
1603	186793.5947
1604	186784.6855
1605	186775.8441
1606	186764.4091
1607	186754.2783
1608	186738.0867
1609	186727.5593
1610	186713.3733
1611	186706.1765
1612	186698.0906
1613	186689.5496
1614	186682.2173
1615	186669.6263
1616	186657.7599
1617	186649.5915
1618	186634.365
1619	186626.4305
1620	186616.5458
1621	186605.2621
1622	186593.4517
1623	186585.2441
1624	186576.5062
1625	186575.0059
1626	186566.7939
1627	186549.2402
1628	186538.5459
1629	186533.9251
1630	186523.9788
1631	186521.2559
1632	186513.9229
1633	186507.8733
1634	186502.244
1635	186494.1768
1636	186477.452
1637	186467.4755
